2023-01-01 00:00,2023-01-01 00:29
2023-01-01 00:30,2023-01-01 00:59
2023-01-01 01:00,2023-01-01 01:29
2023-01-01 01:30,2023-01-01 01:59
2023-01-01 02:00,2023-01-01 02:29
2023-01-01 02:30,2023-01-01 02:59
2023-01-01 03:00,2023-01-01 03:29
2023-01-01 03:30,2023-01-01 03:59
2023-01-01 04:00,2023-01-01 04:29
2023-01-01 04:30,2023-01-01 04:59
2023-01-01 05:00,2023-01-01 05:29
2023-01-01 05:30,2023-01-01 05:59
2023-01-01 06:00,2023-01-01 06:29
2023-01-01 06:30,2023-01-01 06:59
2023-01-01 07:00,2023-01-01 07:29
2023-01-01 07:30,2023-01-01 07:59
2023-01-01 08:00,2023-01-01 08:29
2023-01-01 08:30,2023-01-01 08:59
2023-01-01 09:00,2023-01-01 09:29
2023-01-01 09:30,2023-01-01 09:59
2023-01-01 10:00,2023-01-01 10:29
2023-01-01 10:30,2023-01-01 10:59
2023-01-01 11:00,2023-01-01 11:29
2023-01-01 11:30,2023-01-01 11:59
2023-01-01 12:00,2023-01-01 12:29
2023-01-01 12:30,2023-01-01 12:59
2023-01-01 13:00,2023-01-01 13:29
2023-01-01 13:30,2023-01-01 13:59
2023-01-01 14:00,2023-01-01 14:29
2023-01-01 14:30,2023-01-01 14:59
2023-01-01 15:00,2023-01-01 15:29
2023-01-01 15:30,2023-01-01 15:59
2023-01-01 16:00,2023-01-01 16:29
2023-01-01 16:30,2023-01-01 16:59
2023-01-01 17:00,2023-01-01 17:29
2023-01-01 17:30,2023-01-01 17:59
2023-01-01 18:00,2023-01-01 18:29
2023-01-01 18:30,2023-01-01 18:59
2023-01-01 19:00,2023-01-01 19:29
2023-01-01 19:30,2023-01-01 19:59
2023-01-01 20:00,2023-01-01 20:29
2023-01-01 20:30,2023-01-01 20:59
2023-01-01 21:00,2023-01-01 21:29
2023-01-01 21:30,2023-01-01 21:59
2023-01-01 22:00,2023-01-01 22:29
2023-01-01 22:30,2023-01-01 22:59
2023-01-01 23:00,2023-01-01 23:29
2023-01-01 23:30,2023-01-01 23:59
